metric,value,variant,delta
rmse_before,15.628804658466327,geometry,0.0
rmse_after,69.92550348606268,geometry,54.29669882759635
mae_before,11.173170794666355,geometry,-58.752332691396326
mae_after,15.637088888632686,geometry,4.463918093966331
p95_before,31.944950300337926,geometry,16.30786141170524
p95_after,34.935942332706325,geometry,2.9909920323684
max_before,105.23733008165436,geometry,70.30138774894803
max_after,1928.08,geometry,1822.8426699183456
