well,rows,rmse_before,rmse_after,mae_before,mae_after
f6d009f4,6715.0,25.365240463720685,1195.2656259983696,22.282737311293847,1003.1941099089607
25050f63,6124.0,14.87659418817483,959.3550112163739,13.173848404613748,792.0439409992309
a959858c,4404.0,34.61564570986144,656.6144261636938,31.62818486971222,587.2061806672594
884ecb5f,6724.0,22.346839989511697,109.45832658149149,20.37409006868339,81.35283023716919
fb03ae90,6431.0,38.401169860304705,101.1841407997916,37.10797254354589,75.6604355363573
684a6fc1,9818.0,15.243796792665833,85.2876458734453,13.431586801843343,55.11957553383166
57f05c51,4771.0,40.471197981743,84.76044332952974,35.718210543315635,64.86770637623214
7271dd80,4340.0,4.725490178860236,78.88086052712464,3.6687570413634094,49.289565787720214
521a7819,5200.0,30.23071274318831,76.63053069538071,27.96908385817407,57.11063628201843
7c607683,5328.0,13.137686850761739,70.63791098140445,12.427436714110906,44.78165494786356
b95e7121,6306.0,8.912828280450896,70.29798272354924,6.885092848422915,41.11985546942182
1b1eba53,4655.0,69.35344241005299,69.35343846798925,65.04189446062291,65.04190772187405
466fc788,6197.0,20.62575983358516,65.75621798153003,17.481047566083532,43.1428252919163
86454a6f,7964.0,64.34027269156081,64.34039946124842,60.21490384846921,60.215055400443404
5f4d2a52,5225.0,59.49182238446867,59.49182319064693,49.52150954717825,49.5214940305175
2fd68f7b,4730.0,58.81381955516372,58.813819873079204,54.582394879968405,54.58239547528109
eba6605e,4410.0,9.150486932665395,57.75200851337427,7.848912254860099,35.436066332877104
57796579,5890.0,18.18033786083998,54.23025690754325,15.255049498092363,34.718149360631884
ba48188d,4166.0,52.95960132369875,52.95965070165235,41.623755492533576,41.62364373157051
d085e611,6191.0,10.085599752166624,52.425201847851795,7.903873546177468,33.89112678820108
f88ddb26,4990.0,51.89767119442239,51.8957994220112,47.173353263844184,47.17159741677582
5305524b,4898.0,12.639114381732073,51.72550630497379,11.359602226300073,33.6901400036516
ea3a0e38,10052.0,6.938324202751049,50.27228321328953,5.85257305799477,29.901761033115466
fef8af96,3826.0,48.177316602014336,48.17738903940665,40.38182319612273,40.38187380298441
43e16325,3720.0,44.289604761289546,44.28965355646742,36.61120030443395,36.61123823281718
c8d9680c,6281.0,42.818600833773786,42.81861279473358,39.65169995013807,39.651720996211886
7e721392,6174.0,42.02561314070433,42.02544225608572,39.84078679874903,39.840621828909114
389ae58f,6463.0,44.07457004702614,40.14921029124587,42.62099781202753,37.9160121772427
445af6c2,6041.0,36.555802721225376,40.11218811348073,32.739647744190435,35.02885999763786
94d813a4,4847.0,39.89055006197875,39.891062836559634,33.06109831139128,33.06166853919985
708caea9,6548.0,38.14742118622786,38.14757592125444,35.763791737552204,35.76392273948712
91db7070,4073.0,37.2725494591779,37.272526447464905,31.671192405831334,31.671214483514266
206b6193,6535.0,35.79708369041987,35.79723859587622,31.775091747608563,31.775356727353795
91b301ce,6570.0,35.44789282080843,35.44791641654803,22.790202887387697,22.790189733096007
4c2208f5,5384.0,35.11863722709825,35.11863202429134,33.12868544441118,33.12867423986237
3417285d,5449.0,35.023205384967184,35.022907626203136,33.308873609614636,33.30854077340784
4f3eb9e9,4697.0,34.63572453145633,34.635778797601304,26.38243171971592,26.38248714342824
03a935ae,2786.0,34.411998035015976,34.41197574461063,30.439853608697366,30.439825468760837
da3bfe4e,5549.0,33.77152387972144,33.771597986144215,30.736787112556684,30.736873034180828
8382f4b6,4967.0,33.489824840864415,33.48981017941996,30.603939987639073,30.60393781970125
6d6d93af,3595.0,33.136032252627,33.13602651106388,29.5957319826749,29.59573574984975
8f201368,6349.0,31.882657008508996,33.099278973772456,30.32747118235281,31.271185195682296
ff0aea78,3261.0,32.697694712425466,32.69772129268889,30.755307007561335,30.755324392756336
9d5e14d4,5400.0,32.00548564317395,32.00534713837989,29.810867096607435,29.810729891448265
d924e971,3184.0,31.349789084024774,31.34933517619327,24.3342322111075,24.33379892477657
81bf5923,4543.0,31.34032020620777,31.340320878025064,27.020514652505682,27.02052737555985
9a95e33f,6447.0,31.015251089203367,31.015219929718132,28.988340188009868,28.988305315339947
cf50c9d1,4858.0,30.62304196790374,30.623131671580975,29.212325910494744,29.212398869707535
ab112491,5185.0,29.98324854022058,29.983521080400394,26.309152540340754,26.3094125669915
d7eb0be8,5401.0,29.610750723154467,29.610754135156736,24.68890030672752,24.68892105325499
89f1085d,5994.0,29.350743698417652,29.35070241197124,28.131552608725492,28.131515267555635
896d15b9,4279.0,29.17409161682599,29.17413231341169,24.34185743800705,24.34191569236985
fbd68d27,6829.0,28.77799286145607,28.899471832753967,26.25498319477039,26.35364966491999
35b30c7f,9579.0,28.667200991466864,28.667410059351734,26.72904280511622,26.729261907356584
cc8a1d57,6638.0,28.080447818774253,28.080494088018334,25.529931432471894,25.529949627986536
95c8427f,6335.0,27.879458470318625,27.879285169744016,26.403008276666874,26.402767700889747
ad2133a8,5729.0,27.75421014733878,27.754141241461916,24.96496645252391,24.964911760070247
d9eca87b,6373.0,27.326205578201165,27.3262003646436,22.67959183703026,22.679579172322054
fd8f77fa,5272.0,27.233588936066763,27.23359297356052,25.244103952342847,25.24410964723044
a783cc24,1889.0,26.888970584313036,26.888928744383186,22.334557624977617,22.33450304572301
42c538a1,3279.0,26.8743429365613,26.87434810905563,23.847543651555014,23.847526285971927
efe96181,4012.0,26.674747674186893,26.67389808164728,26.0612848029472,26.060430368058466
8bfa881d,4089.0,26.495123002323794,26.49519793651251,21.028082580960263,21.028178008593933
ee288beb,4638.0,26.413054135721406,26.41306400221824,23.19225283015725,23.192250188638653
fa16d114,5686.0,25.204815326232314,25.204908294099695,21.686532992856563,21.686645882072618
3f603129,5051.0,25.06914208515057,25.0691270530123,22.1899984124656,22.18997786435751
55efee7f,4801.0,24.964850402000405,24.964854750879265,21.33967379718788,21.339627743213068
35b3ef6a,3904.0,24.92837853939754,24.92838708495699,23.21943700698903,23.2194402762964
c1708b88,6315.0,24.802625466457684,24.802605175845127,21.46348888710656,21.463465414614713
b37fd114,8161.0,24.636351559793155,24.636575286515303,21.96660873392566,21.966767882504154
5aa403d0,3118.0,25.281402239713792,24.607882469058655,24.032366752011615,23.34996018248657
ab18d3fc,5694.0,23.414298195614936,24.564779281967756,20.088716536001662,20.720930294241413
8255c867,3589.0,24.42968321124718,24.429764829336875,22.616141188585,22.616247304270228
137d1e44,4554.0,24.376318648668637,24.376322601898703,20.571695270157196,20.57168802334528
d90aa14c,10018.0,15.128847992042212,24.348547083744364,13.35881718784443,19.59392224612677
197f8a5a,6310.0,24.339350219200856,24.33961654746766,21.460232368224787,21.460463474935718
276b012a,4837.0,24.2503038610795,24.250317881341765,21.685800080463714,21.685801358167993
ee0300f7,4544.0,24.056262194706044,24.056449283718454,23.191019003161582,23.1912568097979
2bff06cf,7624.0,24.79679602425765,23.777722278966976,22.949736580871875,21.512775089639582
37d36812,4367.0,23.763666684032323,23.764286626814265,21.5710228860249,21.571715848503022
230eaaa3,4690.0,23.687315327915414,23.687302782279986,19.705074787406552,19.70507445451508
c593337f,5208.0,23.43328450122316,23.43332941312286,18.43499599792354,18.434969591322652
493b5b31,4671.0,23.365710453912993,23.365819162824177,20.865156305619998,20.86524010203177
45fb3e21,3649.0,23.274753252793676,23.27481777094976,18.183646691295166,18.18370297976849
155887bb,5585.0,15.790870795285697,23.207280904767508,13.96004476422491,17.58305489238601
bd2c2f34,9823.0,7.995464242080685,23.127547409675632,7.098807056449974,15.231297191709105
32fe84c9,6408.0,23.033329832797076,23.033312801954473,21.07596528201871,21.075966659270488
82aab6d2,6140.0,14.643654264953435,22.93921377609006,12.603120003372167,19.181499279447507
1550491d,4563.0,22.689256635006473,22.688279949618956,21.59724397876429,21.59643731912602
261785ee,3646.0,22.547956905103714,22.548093003469642,20.12130419169524,20.121470455661644
3407f5bf,3638.0,22.30274166528433,22.30288766724149,14.464904948818349,14.464994512504118
14fee784,4910.0,22.161680649512782,22.161609883802665,18.92999290441244,18.930003327753255
56b00794,6065.0,22.137928469110538,22.137919854716447,20.452631507189135,20.452606030530983
8a89da23,3935.0,22.035864137921344,22.036124927663703,21.002032843696806,21.00232130527673
ae8959c3,4518.0,21.94852935346784,21.94882302125566,19.82602733399139,19.826315249333494
44a94013,4903.0,21.891236293850874,21.89081703899938,19.383224341198726,19.382813946352815
46d24a09,4449.0,21.889353657878647,21.889357910190643,19.38826174930066,19.38826885996031
93f5d2e6,3691.0,21.86311310964936,21.863024889234136,14.705314225519663,14.705173799601308
c66be2b8,4154.0,21.847003445752872,21.847312527213372,16.268060853571278,16.26829280673932
b977be4a,5917.0,21.76514876877056,21.765148416373705,20.293044539917414,20.293059994657884
26623a50,5735.0,21.613007641693823,21.612913634168148,20.105568727182444,20.10549601109637
a08d9e63,3685.0,21.45382322290374,21.454251047466943,18.472817510889154,18.473273094034795
c47e0767,4356.0,21.415129329943355,21.415119103401963,19.186232219437105,19.186197630251563
f6824bb0,5015.0,21.343201739058706,21.343382567393405,18.81741600574574,18.817595357456312
99529c45,5840.0,21.180906254851646,21.18090436612991,19.772217877152016,19.77221502873655
