well,rows,baseline_rmse,geometry_rmse,rmse_improvement,baseline_mae,geometry_mae,baseline_bias,geometry_bias,residual_pred_mean,residual_pred_std,max_residual_correction_jump,target_rows,improved,rmse
3c3dbcbc,5069,8.29349171896155,87.67207079049108,-79.37857907152953,7.123116985598751,87.2825487036326,0.4242690866047262,87.2825487036326,86.85827961702786,0.4673375298204333,0.5772276955974291,5069,False,87.67207079049108
1b1eba53,4655,21.9862875814792,69.09415975632653,-47.10787217484733,20.439218047603983,64.79494752708625,-19.371205158965317,-64.79494752708625,-45.42374236812092,25.382019253394883,0.3675877044329496,4655,False,69.09415975632653
86454a6f,7964,29.617770637772463,69.09011897642996,-39.4723483386575,26.0069412347182,64.98856388928093,-26.00380713122477,-64.98586375648985,-38.98205662526507,21.6696365080185,0.6588212256421997,7964,False,69.09011897642996
7e721392,6174,10.614135680014654,40.99663729169154,-30.382501611676886,9.318880790230525,38.81691213277264,6.856389698062642,38.81691213277264,31.96052243470999,16.63442680825633,0.1083933679540933,6174,False,40.99663729169154
03a935ae,2786,5.875162602272094,35.38885696855892,-29.513694366286824,4.667085426991721,31.75283860881437,3.166238333921389,31.75283860881437,28.586600274892955,15.419817516485905,0.3212211067038133,2786,False,35.38885696855892
f88ddb26,4990,24.210115970050985,52.098919602961374,-27.88880363291039,18.843152304094943,47.34830896493829,-3.4099338642864776,47.34830896493829,50.75824282922476,28.82560959932985,0.964153810058754,4990,False,52.098919602961374
a783cc24,1889,6.850075798256675,29.870770978008853,-23.020695179752177,5.90054526266302,25.891206090113737,-5.90054526266302,25.891206090113737,31.791751352776785,16.780874916333573,0.1311978441484171,1889,False,29.870770978008853
3417285d,5449,16.58540634298825,36.21374206066644,-19.62833571767819,14.162189392718536,34.57915225525954,-5.459095246239237,-34.57915225525954,-29.120057009020314,15.917055736016776,0.8877967322825526,5449,False,36.21374206066644
4a035ec2,2588,4.671296886717222,22.800653420807016,-18.129356534089798,4.085030911691588,19.74055371469685,2.222812982716125,19.74055371469685,17.517740731980755,8.585326110405044,0.1048517075023962,2588,False,22.800653420807016
45fb3e21,3649,7.101549817320331,23.52740069097795,-16.425850873657616,5.624932858165943,18.523065566344773,1.5346177030820554,18.523065566344773,16.9884478632627,9.487724830673152,0.1037270647948513,3649,False,23.52740069097795
